# This file was created Sat Aug 29 03:19:04 2020
# Created by:
#                   :-) GROMACS - gmx wham, VERSION 5.1.4 (-:
# 
# Executable:   /Users/apple/apps/gromacs-5.1.4-mpi/bin/gmx_mpi
# Data prefix:  /Users/apple/apps/gromacs-5.1.4-mpi
# Command line:
#   gmx_mpi wham -it tpr-files.dat -ix pullx-files.dat -bsres bsresult.xvg -nBootstrap 100 -o profile-bs.xvg -hist histo-bs.xvg
# gmx wham is part of G R O M A C S:
#
# Glycine aRginine prOline Methionine Alanine Cystine Serine
#
@    title "Average and stddev from bootstrapping"
@    xaxis  label "\xx\f{} (nm)"
@    yaxis  label "E (kJ mol\S-1\N)"
@TYPE xy
@TYPE xydy
3.741398e+00	0.000000e+00	0.000000e+00
3.754653e+00	6.056482e-01	8.228650e-02
3.767908e+00	-7.849730e-01	5.854817e-01
3.781163e+00	-1.256434e+00	1.037566e+00
3.794418e+00	-2.067693e+00	1.277223e+00
3.807673e+00	-2.837017e+00	1.264270e+00
3.820928e+00	-2.969285e+00	1.378405e+00
3.834183e+00	-3.177733e+00	1.316151e+00
3.847438e+00	-3.371272e+00	1.353271e+00
3.860693e+00	-3.311490e+00	1.294727e+00
3.873949e+00	-3.405093e+00	1.251458e+00
3.887204e+00	-3.410151e+00	1.146114e+00
3.900459e+00	-3.269965e+00	1.068898e+00
3.913714e+00	-3.195113e+00	1.006153e+00
3.926969e+00	-2.986275e+00	9.655954e-01
3.940224e+00	-2.820859e+00	9.120816e-01
3.953479e+00	-2.664645e+00	8.327422e-01
3.966734e+00	-2.388153e+00	7.407099e-01
3.979989e+00	-2.213867e+00	7.062681e-01
3.993244e+00	-2.129251e+00	7.148583e-01
4.006500e+00	-2.091014e+00	7.865623e-01
4.019755e+00	-2.114652e+00	9.830241e-01
4.033010e+00	-1.994746e+00	1.260874e+00
4.046265e+00	-1.776609e+00	1.343983e+00
4.059520e+00	-1.394756e+00	1.347887e+00
4.072775e+00	-1.194834e+00	1.315599e+00
4.086030e+00	-9.748352e-01	1.297189e+00
4.099285e+00	-7.150713e-01	1.297678e+00
4.112540e+00	-5.796359e-01	1.304329e+00
4.125795e+00	-3.836592e-01	1.310091e+00
4.139051e+00	-1.083998e-01	1.317038e+00
4.152306e+00	2.206752e-01	1.324952e+00
4.165561e+00	5.001285e-01	1.341709e+00
4.178816e+00	7.098768e-01	1.372033e+00
4.192071e+00	1.047377e+00	1.398516e+00
4.205326e+00	1.328991e+00	1.402658e+00
4.218581e+00	1.602039e+00	1.413387e+00
4.231836e+00	1.817234e+00	1.410846e+00
4.245091e+00	2.148830e+00	1.423739e+00
4.258346e+00	2.488404e+00	1.407312e+00
4.271602e+00	2.731123e+00	1.407675e+00
4.284857e+00	3.121277e+00	1.410893e+00
4.298112e+00	3.640393e+00	1.417119e+00
4.311367e+00	4.125330e+00	1.422919e+00
4.324622e+00	4.711865e+00	1.432959e+00
4.337877e+00	5.305078e+00	1.433301e+00
4.351132e+00	5.950874e+00	1.425312e+00
4.364387e+00	6.709501e+00	1.418369e+00
4.377642e+00	7.632527e+00	1.427042e+00
4.390897e+00	8.285529e+00	1.469566e+00
4.404153e+00	9.064379e+00	1.507200e+00
4.417408e+00	9.660962e+00	1.584104e+00
4.430663e+00	1.012382e+01	1.632870e+00
4.443918e+00	1.036780e+01	1.660185e+00
4.457173e+00	1.075647e+01	1.713143e+00
4.470428e+00	1.100478e+01	1.737407e+00
4.483683e+00	1.120748e+01	1.770558e+00
4.496938e+00	1.150667e+01	1.771287e+00
4.510193e+00	1.182652e+01	1.728500e+00
4.523448e+00	1.217833e+01	1.712814e+00
4.536704e+00	1.263657e+01	1.706306e+00
4.549959e+00	1.303572e+01	1.692960e+00
4.563214e+00	1.339137e+01	1.683202e+00
4.576469e+00	1.370623e+01	1.683949e+00
4.589724e+00	1.394145e+01	1.695104e+00
4.602979e+00	1.419060e+01	1.706332e+00
4.616234e+00	1.448396e+01	1.720154e+00
4.629489e+00	1.469600e+01	1.742479e+00
4.642744e+00	1.498265e+01	1.775911e+00
4.655999e+00	1.528037e+01	1.845209e+00
4.669255e+00	1.578212e+01	1.905409e+00
4.682510e+00	1.625445e+01	2.017946e+00
4.695765e+00	1.673333e+01	2.097844e+00
4.709020e+00	1.714737e+01	2.117261e+00
4.722275e+00	1.754244e+01	2.127182e+00
4.735530e+00	1.790761e+01	2.146383e+00
4.748785e+00	1.814385e+01	2.152544e+00
4.762040e+00	1.850746e+01	2.170251e+00
4.775295e+00	1.880997e+01	2.177560e+00
4.788550e+00	1.911188e+01	2.193688e+00
4.801806e+00	1.933110e+01	2.189070e+00
4.815061e+00	1.959229e+01	2.206346e+00
4.828316e+00	1.973804e+01	2.219247e+00
4.841571e+00	1.995981e+01	2.198843e+00
4.854826e+00	2.015639e+01	2.205657e+00
4.868081e+00	2.033303e+01	2.217856e+00
4.881336e+00	2.069945e+01	2.218733e+00
4.894591e+00	2.091780e+01	2.215057e+00
4.907846e+00	2.116029e+01	2.209356e+00
4.921101e+00	2.149006e+01	2.216037e+00
4.934357e+00	2.166206e+01	2.227874e+00
4.947612e+00	2.188860e+01	2.237635e+00
4.960867e+00	2.189161e+01	2.247668e+00
4.974122e+00	2.205735e+01	2.262211e+00
4.987377e+00	2.221339e+01	2.268536e+00
5.000632e+00	2.213860e+01	2.266763e+00
5.013887e+00	2.217558e+01	2.259979e+00
5.027142e+00	2.235422e+01	2.253287e+00
5.040397e+00	2.248428e+01	2.243934e+00
5.053652e+00	2.266419e+01	2.248980e+00
